,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
0,9,5,21,1,4,38,36,30,0,7,5,16,1,20,111,5,20,30,161,15,31,,,,,,,,,,,,,,,
1,10,12,27,,6,43,63,17,0,5,4,17,,1,180,1,5,7,140,26,32,3,7,2,2,1,,,,,,,,,,
2,5,3,21,,4,32,31,8,0,4,2,7,,32,128,1,,12,90,18,17,2,2,4,,,,,,,,,,,,
3,6,11,27,,3,34,36,16,0,3,2,11,,2,103,1,,19,86,22,32,10,2,3,,1,,,,,,,,,,
4,5,3,20,,4,34,31,8,0,4,2,5,,32,127,1,,11,88,18,18,2,1,4,,,,,,,,,,,,
5,2,1,20,,8,17,48,8,0,9,5,4,,1,83,1,,12,57,10,21,2,2,,,2,1,1,,,,,,,,
6,10,,10,,,17,30,19,0,3,3,13,5,1,83,1,,4,91,9,17,,1,,,4,,,1,1,,,,,,
7,16,6,29,,8,22,46,10,0,2,8,10,1,,72,4,,25,61,14,43,,1,5,1,,,,,,,,,,,
8,10,,26,,3,63,49,15,0,1,3,5,1,,188,2,,18,91,18,49,1,3,14,,,,,,1,2,,,,,
9,10,,24,,2,27,35,13,0,4,3,31,1,,121,2,2,14,92,13,22,,,1,1,,,,1,,,,,,,
10,7,14,9,,1,17,20,4,0,5,3,14,2,,110,3,,9,99,8,13,,1,2,,,,,,,,,,,,
11,1,,43,,3,13,27,4,0,1,3,7,,,91,1,,3,102,12,15,,,3,,,,,,,,,,,,
12,4,18,20,,8,38,55,28,0,2,2,13,3,3,120,1,,12,89,18,37,,1,2,,,1,,,,,1,,,,
13,6,,16,1,2,12,46,8,0,7,6,21,2,,152,1,,9,151,10,16,,10,3,,,,,,3,,1,,,,
14,24,1,59,,6,52,88,33,0,7,4,4,4,3,211,1,1,19,131,32,86,1,2,24,,4,,,,2,,,,,,
15,12,2,4,,8,39,53,6,0,4,2,2,1,1,124,2,,3,69,7,28,,3,2,,,,,,,,,,,,
16,3,10,12,,3,21,20,5,0,1,2,11,,1,63,1,,11,76,12,23,,4,4,,,,,,,,,,,,
17,6,7,21,,3,26,48,17,0,2,1,6,1,,119,1,1,8,97,15,18,,,1,,1,,,,1,,,,,,
18,14,3,20,,10,55,85,23,0,5,3,12,2,1,134,4,,12,96,42,44,2,3,,,1,,1,,2,,,,,,
19,18,3,36,,5,56,87,29,0,5,3,69,6,3,199,1,2,25,130,27,63,1,3,13,,2,1,,2,2,,,,,,
20,11,,24,2,4,32,54,14,0,4,4,4,1,5,100,1,2,12,90,16,26,1,2,3,,,1,,,,,1,,,,
21,24,31,16,,,41,52,22,0,2,6,16,3,,108,3,,10,82,19,38,,1,6,,,,1,,,,,,,,
22,5,,13,,,22,33,9,0,4,4,5,2,,143,1,,10,102,36,22,2,,1,1,,,,,,,1,,,,
23,5,5,6,3,1,17,10,19,0,2,3,4,,1,61,1,,4,45,5,14,,1,,,,1,,,,,,,,,
24,9,4,17,,2,26,34,15,0,1,1,8,,1,116,6,,13,89,26,32,,,1,,1,,,,1,,,,,,
25,6,,26,,3,36,35,16,0,10,5,8,2,,110,1,,7,113,24,41,,1,4,,,3,,,1,,,,,,
